HostStar,HostStarClass,HostStarRadiusSlrRad,HostStarTempK,DistFromSunParsec,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarColor,HostStarMetallicity,HostStarLuminosity,HostStarMassSlrMass,RightAscension,Declination,HostStarPlanetList,DistFromSunLY,HabitablePlanets,HabitablePlanetsList,Planets,Coordinates
11 Com,K,19.0,4742.0,88.9,12.227219618032525,17.61514086867657,#ffd2a1,-0.35,6.29173040880273e+28,2.7,12 20 43,+17 47 34,['11 Com b'],289.814,0,[],1,-140.39095742595603 24.797511010261996 -252.48411374579294
11 UMi,K,24.08,4340.0,122.1,12.980366478130806,18.700161703328707,#ffd2a1,0.04,7.090691461128031e+28,1.8,15 17 05.88899,+71 49 26.0466,['11 UMi b'],398.046,0,[],1,360.840723941657 -22.30309944592799 167.00066920492495
14 And,K,11.0,4813.0,79.2,7.29248292795052,10.505913696750751,#ffd2a1,-0.24,2.2380280326949693e+28,2.2,23 31 17.41346,+39 14 10.3092,['14 And b'],258.192,0,[],1,4.963575366710064 7.1530223185419235 258.1691020730177
14 Her,G,0.708,5311.0,18.1,0.5715271592477028,0.823370458282714,#fff4ea,0.43,1.3746382558940395e+26,1.0,16 10 23,+43 49 18,"['14 Her b', '14 Her c']",59.006,0,[],2,-44.825529256902705 -37.236681532333606 -9.441983031357184
16 Cygni B,S-type binary,1.127,5750.0,21.146,1.0663766280402471,1.5362752210887212,,0.052000000000000005,4.7855947126672944e+26,1.07,19 41 48.95343,+50 31 30.2153,['16 Cygni B b'],68.93596,1,['16 Cygni B b'],1,65.96634084530477 9.580889397944185 17.70242515287538
18 Del,K,8.5,4979.0,75.3,6.0305120673428325,8.687855693688041,#ffd2a1,-0.052000000000000005,1.530463799419417e+28,2.3,20 58 25.93397,+10 50 21.4289,['18 Del b'],245.478,0,[],1,-34.44237329922063 -16.585580344774982 -242.60239754603376
1RXS1609,K,1.35,4060.0,145.0,0.6368495528668664,0.9174771482274768,#ffd2a1,,1.706822566984265e+26,0.85,16 09 30,-21 04 58,['1RXS1609 b'],472.7,0,[],1,259.01605773361405 132.33657463494896 -372.90407894148075
1SWASP J1407,,0.99,,133.0,,,,,,,14 07 47.93,-39 45 42.7,['1SWASP J1407 b'],433.58,0,[],1,22.05100246939741 203.7089498678264 -382.3459904180429
24 Sex,K,4.9,5098.0,74.8,3.644573850924147,5.250554402052543,#ffd2a1,-0.03,5.589953427591151e+27,1.54,10 23 28.370,-00 54 08.09,"['24 Sex b', '24 Sex c']",243.848,0,[],2,53.1797734842757 -141.56190356637603 191.44465030478477
2M 044144,S-type binary,,2100.0,145.0,,,,,,0.018000000000000002,04 41 45.652,+23 01 58.07,['2M 044144 b'],472.7,0,[],1,-58.05622602764394 -231.56559692791748 -408.2481943377249
2M 0746+20,,0.08900000000000001,2205.0,12.21,0.012383921968129031,0.01784089406994661,,,6.45403169012203e+22,0.12,07 46 42.562,+20 00 32.18,['2M 0746+20 b'],39.8046,0,[],1,-14.419740399343015 -6.760107223876051 36.50066897034248
2M 1938+4603,P-type binary,,,,,,,,,,19 38 32.6,+46 03 59,['2M 1938+4603 b'],,0,[],1,nan
2M 2140+16,,0.1,2300.0,25.0,0.015139331010331809,0.02181047341385939,,,9.645573374380295e+22,0.08,21 40 29,+16 25 18,['2M 2140+16 b'],81.5,0,[],1,2.0968982758367782 61.60320822856304 -53.37857793515197
2M 2206-20,,0.11,2350.0,26.67,0.017385189235352202,0.025045968501104413,,,1.2719602061119976e+23,0.13,22 06 22.802,-20 47 05.90,['2M 2206-20 b'],86.9442,0,[],1,-4.848975723898822 30.637327607790187 -81.26740094944037
2M1207,M,,2550.0,59.0,,,#ffcc6f,,,0.025,12 07 33,-39 32 54,['2M1207 b'],192.34,0,[],1,-50.121519895288884 16.88252429437351 -185.02160539617051
2MASS 0122-2439,,,,36.0,,,,,,0.4,01 22 50.938,-24 39 50.65,['2MASS 0122-2439 B'],117.36,0,[],1,-30.141181023884815 100.32526652800425 53.0371430941631
2MASS J0219-3925,M,0.281,3064.0,39.4,0.07549789698509818,0.10876602631067578,#ffcc6f,,2.3987466910786509e+24,0.108,02 19 22.10,-39 25 22.5,['2MASS J0219-3925 B'],128.444,0,[],1,18.798239907758536 5.498229550292417 -127.00429296281692
2MASS J21265040-8140293,,,,26.7,,,,,,0.4,21 25 27.4899,-81 38 27.673,['2MASS J21265040-8140293'],87.04199999999999,0,[],1,52.57050206063156 69.33656597282382 3.516245003687885
30 Ari B,S-type binary,1.13,6424.0,41.8,1.3345674265489151,1.922644227534458,,0.07,7.495415648025663e+26,1.16,02 37 00.52363,+24 38 49.9957,['30 Ari B b'],136.26799999999997,1,['30 Ari B b'],1,2.1373350279071577 120.55869712898165 -63.62249239824642
38 Vir,F,1.45,6557.0,,1.7841418570318706,2.5703235177823416,#f8f7ff,0.07,1.3395947725659922e+27,1.18,12 53 11.16,-03 33 11.2,['38 Vir b'],,1,['38 Vir b'],1,nan
4 UMa,K,18.11,4415.0,78.5,10.102546979878797,14.55423176668378,#ffd2a1,-0.25,4.2951312283787195e+28,1.234,08 40 12.81767,+64 19 40.5700,['4 UMa b'],255.91,0,[],1,-6.060662217248444 -18.12480560031611 255.31850923419998
42 Dra,K,22.03,4200.0,96.5,11.121518549074167,16.022212901665725,#ffd2a1,-0.46,5.2052651985348805e+28,0.98,18 25 59.13734,+65 33 48.5288,['42 Dra b'],314.59,0,[],1,-288.47053766957697 -10.450849122281719 125.44871122728186
47 UMa,G,1.24,5818.7,14.063,1.201502366822874,1.7309440826939877,#fff4ea,-0.019,6.075247021129306e+26,1.063,10 59 27.97282,+40 25 48.9202,"['47 UMa b', '47 UMa c', '47 UMa d']",45.84537999999999,1,['47 UMa b'],3,-2.8190969893651863 -41.96312564301157 18.30204428177736
51 Eri,S-type binary,,,29.4,,,,-0.027000000000000003,,1.75,04 37 36.13234,-02 28 24.7749,['51 Eri b'],95.844,0,[],1,-72.23006407679972 -21.200000332371868 -59.39921212118202
51 Peg,G,1.266,5793.0,14.7,1.2158829688928467,1.751661493450671,#fff4ea,0.2,6.2215447661357e+26,1.04,22 57 27,+20 46 07,['51 Peg b'],47.922,0,[],1,-5.734523995161385 15.323948395220517 45.06677249306435
55 Cnc,S-type binary,0.96,5219.0,12.34,0.7483363465415653,1.078090569506067,,0.3,2.3567220137809397e+26,0.96,08 52 35.81093,+28 19 50.9511,"['55 Cnc b', '55 Cnc c', '55 Cnc d', '55 Cnc e', '55 Cnc f']",40.22839999999999,1,['55 Cnc f'],5,-14.474743346642509 -37.48594628291612 -2.272217483926165
6 Lyn,K,5.2,4978.0,55.8,3.6877726641504767,5.312788761466455,#ffd2a1,-0.13,5.723253221074916e+27,1.82,06 30 47.10797,+58 09 45.4809,['6 Lyn b'],181.908,0,[],1,7.487261669005692 2.3726404622911423 181.82571388309762
