PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,SurfaceTempK,DiscoveryMethod,DiscoveryYear,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,ListsPlanetIsOn,HostStar
HD 143761 b,0,1.045,,39.8458,0.2196,0.037000000000000005,,RV,2016.0,0.889,1.3619999999999999,-0.31,5627.0,Confirmed planets,HD 143761
HD 143761 c,0,0.079,,102.54,0.4123,0.05,,RV,2016.0,0.889,1.3619999999999999,-0.31,5627.0,Confirmed planets,HD 143761
KOI-1843.03,0,0.0014,0.054000000000000006,0.17689129999999997,0.0048,,,transit,2012.0,0.46,0.45,0.0,3584.0,Controversial,KOI-1843
KOI-1843.01,0,,0.114,4.194525,0.039,,,transit,,0.46,0.45,0.0,3584.0,Controversial,KOI-1843
KOI-1843.02,0,,0.071,6.356006,0.052000000000000005,,,transit,,0.46,0.45,0.0,3584.0,Controversial,KOI-1843
Kepler-9 b,0,0.25,0.84,19.22418,0.14300000000000002,0.0626,707.2,transit,2010.0,1.07,1.02,0.12,5777.0,Confirmed planets,Kepler-9
Kepler-9 c,0,0.17,0.82,39.03106,0.22899999999999998,0.0684,557.9,transit,2010.0,1.07,1.02,0.12,5777.0,Confirmed planets,Kepler-9
Kepler-9 d,0,0.022000000000000002,0.147,1.592851,0.0271,,1601.5,transit,2010.0,1.07,1.02,0.12,5777.0,Confirmed planets,Kepler-9
GJ 160.2 b,0,0.0321,,5.2354,0.053,0.06,,RV,2014.0,0.69,,,4347.0,Controversial,GJ 160.2
Kepler-566 b,0,,0.192,18.42794624,,,,transit,2016.0,0.83,0.79,-0.01,5132.0,Confirmed planets,Kepler-566
WASP-124 b,0,0.6,1.24,3.37265,0.0449,,1400.0,transit,2016.0,1.07,,-0.02,6050.0,Confirmed planets,WASP-124
HD 240210 b,0,5.21,,501.75,1.33,0.15,,RV,2009.0,0.82,,-0.18,4297.0,Confirmed planets,HD 240210
OGLE-05-390L b,0,0.017,,3500.0,2.1,,,microlensing,2005.0,0.22,,,3840.0,Confirmed planets,OGLE-05-390L
Kepler-1343 b,0,,0.172,3.35183158,,,,transit,2016.0,0.95,0.93,-0.16,5759.0,Confirmed planets,Kepler-1343
Kepler-1011 b,0,,0.256,5.75322197,,,,transit,2016.0,0.91,0.88,0.08,5416.0,Confirmed planets,Kepler-1011
WASP-82 b,0,1.24,1.67,2.705782,0.0447,,2190.0,transit,2013.0,1.63,2.18,0.12,6490.0,Confirmed planets,WASP-82
Gliese 1214 b,0,0.0195,0.2525,1.58040417,0.01488,0.0,604.0,transit,2009.0,0.17600000000000002,0.2213,0.1,3250.0,Confirmed planets,Gliese 1214
Kepler-153 b,0,,0.2661,18.870227,,,,transit,2014.0,0.82,0.892,,5404.0,Confirmed planets,Kepler-153
Kepler-153 c,0,,0.23056,46.90232,,,,transit,2014.0,0.82,0.892,,5404.0,Confirmed planets,Kepler-153
HD 4203 b,0,1.82,,437.05,1.1735,0.52,263.9,RV,2001.0,1.13,1.33,0.45299999999999996,5702.0,Confirmed planets,HD 4203
HD 4203 c,0,2.17,,6700.0,6.95,0.24,,RV,2014.0,1.13,1.33,0.45299999999999996,5702.0,Confirmed planets,HD 4203
HD 179079 b,0,0.08,,14.475999999999999,0.11,0.115,925.0,RV,2009.0,1.087,1.48,0.29,5724.0,Confirmed planets,HD 179079
Kepler-1368 b,0,,0.147,0.67564949,,,,transit,2016.0,1.07,1.08,0.1,5906.0,Confirmed planets,Kepler-1368
HD 187123 b,0,0.5074,,3.0965886,0.04213,0.0093,,RV,1998.0,1.037,1.143,0.121,5815.0,Confirmed planets,HD 187123
HD 187123 c,0,1.818,,3324.0,4.417,0.28,,RV,2007.0,1.037,1.143,0.121,5815.0,Confirmed planets,HD 187123
Kepler-1111 b,0,,0.17800000000000002,8.79617863,,,,transit,2016.0,1.1,1.15,0.02,6077.0,Confirmed planets,Kepler-1111
Kepler-1289 b,0,,0.136,7.99019627,,,,transit,2016.0,1.1,1.17,0.02,6080.0,Confirmed planets,Kepler-1289
Kepler-431 b,0,,0.0682,6.803,0.0719,,,transit,2015.0,1.071,1.092,,6004.0,Confirmed planets,Kepler-431
Kepler-431 c,0,,0.0596,8.703,0.0847,,,transit,2015.0,1.071,1.092,,6004.0,Confirmed planets,Kepler-431
Kepler-431 d,0,,0.099,11.922,0.1045,,,transit,2015.0,1.071,1.092,,6004.0,Confirmed planets,Kepler-431
Kepler-131 b,0,0.05074,0.21962399999999999,16.092,,,,transit,2014.0,1.02,1.03,0.12,5685.0,Confirmed planets,Kepler-131
Kepler-131 c,0,0.025952,0.076549,25.5169,,,,transit,2014.0,1.02,1.03,0.12,5685.0,Confirmed planets,Kepler-131
Kepler-548 b,0,,1.07,4.45419434,,,,transit,2016.0,0.93,0.9,0.0,5535.0,Confirmed planets,Kepler-548
HD 114729 A b,2,0.84,,1135.0,2.08,0.32,,RV,2002.0,0.93,1.46,-0.22,,"Confirmed planets, Planets in binary systems, S-type",HD 114729 A
CoRoT-24 b,0,,0.33,5.1134,0.055999999999999994,0.0,1070.0,transit,2014.0,0.91,0.86,0.3,4950.0,Confirmed planets,CoRoT-24
