PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
KOI-1843.03,,,+40 13 14.7,transit,2012.0,,,,0.52,0.07,0.5,3687.0,72.0,13/07/15,Controversial,,,0.17689129999999997,0.0014,0.054000000000000006,19 00 03.14,0.0048,,0,KOI-1843
Kepler-974 b,,,+40 13 14.7,transit,,,,,0.52,0.07,0.5,3687.0,89.38,17/11/28,Confirmed planets,,,4.19449651,,0.14,19 00 03.14,0.039,,0,Kepler-974
KOI-1843.02,,,+40 13 14.7,transit,,,,,0.52,0.07,0.5,3687.0,88.24,,Controversial,,,6.356006,,0.071,19 00 03.14,0.052000000000000005,,0,KOI-1843
Kepler-9 b,,,+38 24 03,transit,2010.0,650.0,0.0626,,1.07,0.12,1.02,5777.0,87.1,15/12/03,Confirmed planets,,,19.22418,0.25,0.84,19 02 17,0.14300000000000002,707.2,0,Kepler-9
Kepler-9 c,,,+38 24 03,transit,2010.0,650.0,0.0684,,1.07,0.12,1.02,5777.0,87.2,15/12/03,Confirmed planets,,,39.03106,0.17,0.82,19 02 17,0.22899999999999998,557.9,0,Kepler-9
Kepler-9 d,,,+38 24 03,transit,2010.0,650.0,,,1.07,0.12,1.02,5777.0,,14/03/10,Confirmed planets,,,1.592851,0.022000000000000002,0.147,19 02 17,0.0271,1601.5,0,Kepler-9
GJ 160.2 b,,,-20 51 11.2391,RV,2014.0,43.25,0.06,,0.69,,,4347.0,,15/04/21,Controversial,,350.0,5.2354,0.0321,,04 06 34.84136,0.053,,0,GJ 160.2
Kepler-566 b,,,+47 48 52,transit,2016.0,,,,0.83,-0.01,0.79,5132.0,,16/05/10,Confirmed planets,,,18.42794624,,0.192,19 26 13,,,0,Kepler-566
WASP-124 b,,,-30 44 58.8,transit,2016.0,433.0,,,1.07,-0.02,,6050.0,86.3,16/02/04,Confirmed planets,,,3.37265,0.6,1.24,22 10 51.43,0.0449,1400.0,0,WASP-124
HD 240210 b,,,+57 01 46.035,RV,2009.0,143.0,0.15,,0.82,-0.18,,4297.0,,15/11/26,Confirmed planets,,277.59,501.75,5.21,,23 10 29.2303,1.33,,0,HD 240210
OGLE-05-390L b,,,-30 22 38,microlensing,2005.0,6500.0,,,0.22,,,3840.0,,06/04/12,Confirmed planets,,,3500.0,0.017,,17 54 19,2.1,,0,OGLE-05-390L
Kepler-1343 b,,,+50 43 31,transit,2016.0,,,,0.95,-0.16,0.93,5759.0,,16/05/10,Confirmed planets,,,3.35183158,,0.172,19 37 11,,,0,Kepler-1343
Kepler-1011 b,,,+46 49 26,transit,2016.0,,,,0.91,0.08,0.88,5416.0,,16/05/10,Confirmed planets,,,5.75322197,,0.256,19 49 36,,,0,Kepler-1011
WASP-82 b,,,+01 53 38,transit,2013.0,200.0,,,1.63,0.12,2.18,6490.0,87.9,13/10/22,Confirmed planets,,,2.705782,1.24,1.67,04 50 39,0.0447,2190.0,0,WASP-82
Gliese 1214 b,,,+04 57 49.7,transit,2009.0,14.55,0.0,,0.17600000000000002,0.1,0.2213,3250.0,88.47,10/12/07,Confirmed planets,,,1.58040417,0.0195,0.2525,17 15 18.94,0.01488,604.0,0,Gliese 1214
CoRoT-30 b,,,+06 50 09,transit,2017.0,960.0,0.006999999999999999,1.5,0.97,0.02,0.92,5650.0,90.0,17/08/01,Confirmed planets,,178.1,9.06005,2.84,1.02,18 30 24,0.084,,0,CoRoT-30
Kepler-153 b,,,+48 15 25,transit,2014.0,626.1,,,0.82,,0.892,5404.0,,14/02/26,Confirmed planets,,,18.870227,,0.2661,18 49 50,,,0,Kepler-153
Kepler-153 c,,,+48 15 25,transit,2014.0,626.1,,,0.82,,0.892,5404.0,,14/02/26,Confirmed planets,,,46.90232,,0.23056,18 49 50,,,0,Kepler-153
HD 4203 b,,,+20 26 56.137,RV,2001.0,78.92,0.52,,1.13,0.45299999999999996,1.33,5702.0,,17/12/10,Confirmed planets,,328.03,437.05,1.82,,00 44 41.2002,1.1735,,0,HD 4203
HD 4203 c,,,+20 26 56.137,RV,2014.0,78.92,0.182,,1.13,0.45299999999999996,1.33,5702.0,,17/12/10,Confirmed planets,,232.2,7053.0,1.51,,00 44 41.2002,7.5,,0,HD 4203
HD 179079 b,,,-02 38 18,RV,2009.0,63.69,0.115,,1.087,0.29,1.48,5724.0,,09/08/13,Confirmed planets,,,14.475999999999999,0.08,,19 11 10,0.11,925.0,0,HD 179079
Kepler-1368 b,,,+41 38 41,transit,2016.0,,,,1.07,0.1,1.08,5906.0,,16/05/10,Confirmed planets,,,0.67564949,,0.147,19 39 04,,,0,Kepler-1368
HD 187123 b,,,+34 25 10.2810,RV,1998.0,48.3,0.0093,,1.037,0.121,1.143,5815.0,,17/12/10,Confirmed planets,,360.0,3.0965886,0.5074,,19 46 58.11299,0.04213,,0,HD 187123
HD 187123 c,,,+34 25 10.2810,RV,2007.0,48.3,0.295,,1.037,0.121,1.143,5815.0,,17/12/10,Confirmed planets,,260.4,3380.0,1.8,,19 46 58.11299,4.46,,0,HD 187123
Kepler-1111 b,,,+45 48 46,transit,2016.0,,,,1.1,0.02,1.15,6077.0,,16/05/10,Confirmed planets,,,8.79617863,,0.17800000000000002,19 41 51,,,0,Kepler-1111
Kepler-1289 b,,,+41 02 26,transit,2016.0,,,,1.1,0.02,1.17,6080.0,,16/05/10,Confirmed planets,,,7.99019627,,0.136,19 45 33,,,0,Kepler-1289
KIC 5095269(AB) b,,,+40 14 06,,2017.0,,0.0604,,,,,,105.92,17/07/07,Confirmed planets,,27.67,237.70817000000002,7.6979999999999995,,19 22 12,,,0,KIC 5095269(AB)
Kepler-431 b,,,+43 13 40.0,transit,2015.0,,,,1.071,,1.092,6004.0,,15/03/18,Confirmed planets,,,6.803,,0.0682,18 44 26.96,0.0719,,0,Kepler-431
Kepler-431 c,,,+43 13 40.0,transit,2015.0,,,,1.071,,1.092,6004.0,,15/03/18,Confirmed planets,,,8.703,,0.0596,18 44 26.96,0.0847,,0,Kepler-431
Kepler-431 d,,,+43 13 40.0,transit,2015.0,,,,1.071,,1.092,6004.0,,15/03/18,Confirmed planets,,,11.922,,0.099,18 44 26.96,0.1045,,0,Kepler-431
Kepler-131 b,,,+40 56 32,transit,2014.0,226.3,,3.66,1.02,0.12,1.03,5685.0,,14/02/24,Confirmed planets,,,16.092,0.05074,0.21962399999999999,19 14 07,,,0,Kepler-131
Kepler-131 c,,,+40 56 32,transit,2014.0,226.3,,3.66,1.02,0.12,1.03,5685.0,,14/02/24,Confirmed planets,,,25.5169,0.025952,0.076549,19 14 07,,,0,Kepler-131
Kepler-548 b,,,+45 26 23,transit,2016.0,,,,0.93,0.0,0.9,5535.0,,16/05/10,Confirmed planets,,,4.45419434,,1.07,19 59 37,,,0,Kepler-548
HD 114729 A b,,,-31 52 24,RV,2002.0,35.0,0.32,6.0,0.93,-0.22,1.46,,,12/12/08,"""Confirmed planets,  Planets in binary systems,  S-type""",,,1135.0,0.84,,13 12 44,2.08,,2,HD 114729 A
CoRoT-24 b,,,-03 43 10,transit,2014.0,600.0,0.0,11.0,0.91,0.3,0.86,4950.0,86.5,14/06/08,Confirmed planets,,,5.1134,,0.33,06 47 41,0.055999999999999994,1070.0,0,CoRoT-24
CoRoT-24 c,,,-03 43 10,transit,2014.0,600.0,0.0,11.0,0.91,0.3,0.86,4950.0,89.0,14/06/08,Confirmed planets,,,11.759,0.08800000000000001,0.44,06 47 41,0.098,850.0,0,CoRoT-24
Kepler-1105 b,,,+42 27 18,transit,2016.0,,,,0.71,0.28,0.68,4299.0,,16/05/10,Confirmed planets,,,4.42157218,,0.179,18 44 27,,,0,Kepler-1105
Kepler-211 c,,,+43 10 06,transit,2014.0,327.93,,,0.914,,0.816,5123.0,,14/02/26,Confirmed planets,,,6.04045,,0.11756,19 01 45,,,0,Kepler-211
Kepler-211 b,,,+43 10 06,transit,2014.0,327.93,,,0.914,,0.816,5123.0,,14/02/26,Confirmed planets,,,4.138575,,0.11482,19 01 45,,,0,Kepler-211
Kepler-294 c,,,+46 03 33,transit,2014.0,1698.68,,,0.994,,0.976,5913.0,,14/02/26,Confirmed planets,,,6.6264,,0.24695999999999999,19 09 34,,,0,Kepler-294
Kepler-294 b,,,+46 03 33,transit,2014.0,1698.68,,,0.994,,0.976,5913.0,,14/02/26,Confirmed planets,,,3.7012120000000004,,0.1613,19 09 34,,,0,Kepler-294
HD 164595 b,,,+29 34 18.9202,RV,2015.0,28.93,0.08800000000000001,,0.99,-0.04,,5790.0,,15/06/29,Confirmed planets,,,40.0,0.051,,18 00 38.89431,0.23,,0,HD 164595
Kepler-257 c,,,+46 01 23,transit,2014.0,1167.03,,,0.74,,1.037,5180.0,,14/02/26,Confirmed planets,,,6.581484,,0.49301000000000006,19 49 15,,,0,Kepler-257
Kepler-257 b,,,+46 01 23,transit,2014.0,1167.03,,,0.74,,1.037,5180.0,,14/02/26,Confirmed planets,,,2.3826669999999996,,0.23785,19 49 15,,,0,Kepler-257
Kepler-257 d,,,+46 01 23,transit,2014.0,1167.03,,,0.74,,1.037,5180.0,,14/02/26,Confirmed planets,,,24.664551,,0.45109,19 49 15,,,0,Kepler-257
Kepler-214 c,,,+44 57 21,transit,2014.0,1070.66,,,1.15,,1.3519999999999999,6169.0,,14/02/26,Confirmed planets,,,28.7798,,0.19411,18 59 01,,,0,Kepler-214
Kepler-214 b,,,+44 57 21,transit,2014.0,1070.66,,,1.15,,1.3519999999999999,6169.0,,14/02/26,Confirmed planets,,,15.660544,,0.23785,18 59 01,,,0,Kepler-214
Kepler-1112 b,,,+47 45 05,transit,2016.0,,,,1.34,0.04,1.54,6496.0,,16/05/10,Confirmed planets,,,14.36267939,,0.26899999999999996,19 47 53,,,0,Kepler-1112
Kepler-130 c,,,+40 14 43,transit,2014.0,266.39,0.08,,0.965,,1.127,5884.0,89.8,15/07/22,Confirmed planets,,,27.508653000000002,,0.25608000000000003,19 13 48,0.17600000000000002,,0,Kepler-130
Kepler-130 b,,,+40 14 43,transit,2014.0,266.39,0.15,,0.965,,1.127,5884.0,89.6,15/07/22,Confirmed planets,,,8.457458,,0.09295,19 13 48,0.08,,0,Kepler-130
Kepler-130 d,,,+40 14 43,transit,2014.0,266.39,,,0.965,,1.127,5884.0,89.3,15/07/22,Confirmed planets,,,87.517905,,0.14945,19 13 48,0.381,,0,Kepler-130
WASP-108 b,,,-49 38 22.8,transit,2014.0,220.0,,6.4,1.167,0.05,1.215,6000.0,88.49,14/10/14,Confirmed planets,,,2.6755463,0.892,1.284,13 03 18.73,0.0397,1590.0,0,WASP-108
K2-34 b,,,+22 14 09,transit,2016.0,377.0,0.0,,1.281,0.24,1.526,6132.0,82.06,16/06/07,Confirmed planets,,,2.995607,1.78,1.35,08 30 19,0.04419,,0,K2-34
Kepler-815 b,,,+47 52 53,transit,2016.0,,,,1.25,-0.03,3.42,5028.0,,16/05/10,Confirmed planets,,,8.57503552,,0.36700000000000005,19 00 53,,,0,Kepler-815
Kepler-1145 b,,,+43 02 40,transit,2016.0,,,,0.79,-0.13,0.75,5064.0,,16/05/10,Confirmed planets,,,3.97076766,,0.125,19 41 14,,,0,Kepler-1145
38 Vir b,,,-03 33 11.2,,2016.0,,0.03,1.9,1.18,0.07,1.45,6557.0,,17/02/20,Confirmed planets,,,825.9,4.51,,12 53 11.16,1.82,,0,38 Vir
Kepler-1575 b,,,+45 45 42,transit,2016.0,,,,0.95,-0.07,0.92,5667.0,,16/05/10,Confirmed planets,,,2.55314213,,0.11699999999999999,19 34 58,,,0,Kepler-1575
Kepler-1380 b,,,+42 26 26,transit,2016.0,,,,0.96,0.1,0.94,5570.0,,16/05/10,Confirmed planets,,,10.3108245,,0.128,19 12 28,,,0,Kepler-1380
Kepler-189 c,,,+44 18 17,transit,2014.0,650.34,,,0.824,,0.75,5235.0,,14/02/26,Confirmed planets,,,20.134866,,0.21689,19 10 15,,,0,Kepler-189
Kepler-189 b,,,+44 18 17,transit,2014.0,650.34,,,0.824,,0.75,5235.0,,14/02/26,Confirmed planets,,,10.399931,,0.11027,19 10 15,,,0,Kepler-189
Kepler-327 b,,,+44 05 15,transit,2014.0,241.74,,,0.547,,0.49200000000000005,3799.0,,14/02/26,Confirmed planets,,,2.549575,,0.10115,19 30 34,,,0,Kepler-327
Kepler-327 d,,,+44 05 15,transit,2014.0,241.74,,,0.547,,0.49200000000000005,3799.0,,14/02/26,Confirmed planets,,,13.969457,,0.15766,19 30 34,,,0,Kepler-327
Kepler-327 c,,,+44 05 15,transit,2014.0,241.74,,,0.547,,0.49200000000000005,3799.0,,14/02/26,Confirmed planets,,,5.212333,,0.09386,19 30 34,,,0,Kepler-327
Kepler-1071 b,,,+45 14 56,transit,2016.0,,,,0.86,0.01,0.81,5215.0,,16/05/10,Confirmed planets,,,6.1799844,,0.212,19 32 14,,,0,Kepler-1071
Kepler-101 b,,,+48 21 18.84,transit,2014.0,990.44,0.086,5.9,1.17,,1.56,5667.0,85.82,15/01/27,Confirmed planets,,231.0,3.4876812000000004,0.161,0.515,18 53 01.32,0.0474,,0,Kepler-101
Kepler-101 c,,,+48 21 18.84,transit,2014.0,990.44,,5.9,1.17,,1.56,5667.0,84.6,15/01/27,Confirmed planets,,,6.02976,,0.11199999999999999,18 53 01.32,0.0684,,0,Kepler-101
Kepler-156 c,,,+37 44 58,transit,2014.0,482.88,,,0.737,,0.807,5094.0,,14/02/26,Confirmed planets,,,15.906801000000002,,0.23238000000000003,19 21 11,,,0,Kepler-156
Kepler-156 b,,,+37 44 58,transit,2014.0,482.88,,,0.737,,0.807,5094.0,,14/02/26,Confirmed planets,,,4.973456,,0.2096,19 21 11,,,0,Kepler-156
HIP 11952 b,,,-12 23 03,RV,2012.0,111.0,0.27,,0.83,-1.9,1.6,6040.0,,13/02/14,Controversial,,,290.0,2.93,,02 34 11,0.81,372.6,0,HIP 11952
HIP 11952 c,,,-12 23 03,RV,2012.0,111.0,0.35,,0.83,-1.9,1.6,6040.0,,13/02/14,Controversial,,,6.95,0.78,,02 34 11,0.07,1263.2,0,HIP 11952
HD 122430 b,,,-27 25 47,RV,2003.0,135.0,0.68,,1.68,-0.09,22.9,4300.0,,15/05/24,Controversial,,,344.95,3.71,,14 02 22,1.02,868.8,0,HD 122430
