PlanetIdentifier,DiscoveryMethod,DiscoveryYear,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
Kepler-9_b,transit,2010.0,0.0626,1.07,0.12,1.02,5777.0,Confirmed planets,19.22418,0.25,0.84,0.14300000000000002,707.2,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
Kepler-9_c,transit,2010.0,0.0684,1.07,0.12,1.02,5777.0,Confirmed planets,39.03106,0.17,0.82,0.229,557.9,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
Kepler-9_d,transit,2010.0,,1.07,0.12,1.02,5777.0,Confirmed planets,1.592851,0.022,0.147,0.0271,1601.5,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
Mercury,,,0.20563661,1.0,1e-08,1.0,5778.0,Solar System,87.97,0.00017387418999999994,0.034901518,0.38709843,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
Venus,,,0.00676399,1.0,1e-08,1.0,5778.0,Solar System,224.7,0.0025637401,0.08656491,0.72332102,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
Earth,,,0.01673163,1.0,1e-08,1.0,5778.0,Solar System,365.2422,0.0031457007,0.091130294,1.00000018,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
Mars,,,0.09336511,1.0,1e-08,1.0,5778.0,Solar System,686.98,0.00033799525000000004,0.048489079,1.52371243,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
Jupiter,,,0.04853590000000001,1.0,1e-08,1.0,5778.0,Solar System,4332.82,1.0,1.0,5.20248019,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
Saturn,,,0.05550825,1.0,1e-08,1.0,5778.0,Solar System,10755.67,0.299,0.832944,9.54149883,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
Uranus,,1781.0,0.0468574,1.0,1e-08,1.0,5778.0,Solar System,30687.153,0.0457,0.362775,19.18797948,,0,sun,3.8417301417432944e+26,0.9554458702267189,1.3764628527337341,G,#fff4ea
