,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
0,KOI-1843.03,+40 13 14.7,transit,2012.0,,,0.52,0.07,0.5,3687.0,Controversial,0.17689129999999995,0.0014,0.054000000000000006,19 00 03.14,0.0048,,0,KOI-1843,1.5923893491672733e+25,0.19452135768921477,0.2802371450504052,M,#ffcc6f
1,Kepler-974 b,+40 13 14.7,transit,,,,0.52,0.07,0.5,3687.0,Confirmed planets,4.19449651,,0.14,19 00 03.14,0.039,,0,Kepler-974,1.5923893491672733e+25,0.19452135768921477,0.2802371450504052,M,#ffcc6f
2,KOI-1843.02,+40 13 14.7,transit,,,,0.52,0.07,0.5,3687.0,Controversial,6.356006,,0.071,19 00 03.14,0.052000000000000005,,0,KOI-1843,1.5923893491672733e+25,0.19452135768921477,0.2802371450504052,M,#ffcc6f
3,Kepler-9 b,+38 24 03,transit,2010.0,650.0,0.0626,1.07,0.12,1.02,5777.0,Confirmed planets,19.22418,0.25,0.84,19 02 17,0.14300000000000002,707.2,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
4,Kepler-9 c,+38 24 03,transit,2010.0,650.0,0.0684,1.07,0.12,1.02,5777.0,Confirmed planets,39.03106,0.17,0.82,19 02 17,0.229,557.9,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
5,Kepler-9 d,+38 24 03,transit,2010.0,650.0,,1.07,0.12,1.02,5777.0,Confirmed planets,1.592851,0.022,0.147,19 02 17,0.0271,1601.5,0,Kepler-9,3.9941697545732144e+26,0.9742174839087185,1.4035061732653407,G,#fff4ea
6,GJ 160.2 b,-20 51 11.2391,RV,2014.0,43.25,0.06,0.69,,,4347.0,Controversial,5.2354,0.0321,,04 06 34.84136,0.053,,0,GJ 160.2,,,,K,#ffd2a1
7,Kepler-566 b,+47 48 52,transit,2016.0,,,0.83,-0.01,0.79,5132.0,Confirmed planets,18.42794624,,0.192,19 26 13,,,0,Kepler-566,1.4921671624330123e+26,0.5954583631709095,0.8578469411981444,K,#ffd2a1
8,WASP-124 b,-30 44 58.8,transit,2016.0,433.0,,1.07,-0.02,,6050.0,Confirmed planets,3.37265,0.6,1.24,22 10 51.43,0.0449,1400.0,0,WASP-124,,,,F,#f8f7ff
9,HD 240210 b,+57 01 46.035,RV,2009.0,143.0,0.15,0.82,-0.18,,4297.0,Confirmed planets,501.75,5.21,,23 10 29.2303,1.33,,0,HD 240210,,,,K,#ffd2a1
10,OGLE-05-390L b,-30 22 38,microlensing,2005.0,6500.0,,0.22,,,3840.0,Confirmed planets,3500.0,0.017,,17 54 19,2.1,,0,OGLE-05-390L,,,,K,#ffd2a1
